Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,3242639,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242653,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242658,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242513,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242497,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242491,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242656,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242720,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242679,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242722,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242517,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242485,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242486,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242723,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242642,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242717,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242701,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242644,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242493,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242665,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242519,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242494,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242706,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242523,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242524,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242673,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242663,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242702,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242705,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242664,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242645,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242618,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
